Tag,Hỏi,Trả lời
SDT,"Số điện thoại của Trung tâm Hỗ trợ triển khai Hóa đơn điện tử của Tổng cục Thuế là như thế nào","Số điện thoại hỗ trợ, giải đáp vướng mắc Hóa đơn điện tử: 024 33.599.333"
hd_logo,"Cơ sở kinh doanh được phép in trên hóa đơn logo nhãn hiệu của mình không?","Căn cứ Khoản 15 Điều 10 Nghị định số 123/2020/NĐ-CP:
“Điều 10. Nội dung của hóa đơn
…
15. Nội dung khác trên hóa đơn
Ngoài các nội dung hướng dẫn từ khoản 1 đến khoản 13 Điều này, doanh nghiệp, tổ chức, hộ, cá nhân kinh doanh có thể tạo thêm thông tin về biểu trưng hay lo-go để thể hiện nhãn hiệu, thương hiệu hay hình ảnh đại diện của người bán. Tùy theo đặc điểm, tính chất giao dịch và yêu cầu quản lý, trên hóa đơn có thể thể hiện thông tin về Hợp đồng mua bán, lệnh vận chuyển, mã khách hàng và các thông tin khác.
…”
Như vậy, Doanh nghiệp, tổ chức, hộ, cá nhân kinh doanh có thể tạo thêm thông tin về biểu trưng hay lo-go để thể hiện nhãn hiệu, thương hiệu hay hình ảnh đại diện của người bán. Tùy theo đặc điểm, tính chất giao dịch và yêu cầu quản lý, trên hóa đơn có thể thể hiện thông tin về Hợp đồng mua bán, lệnh vận chuyển, mã khách hàng và các thông tin khác."
nd_taisancong,"Các yêu cầu đối với nội dung hóa đơn bán tài sản công?","Căn cứ Khoản 16 Điều 10 Nghị định số 123/2020/NĐ-CP:
“Điều 10. Nội dung của hóa đơn
…
16. Nội dung hóa đơn bán tài sản công thực hiện theo hướng dẫn lập hóa đơn bán tài sản công theo Mẫu số 08/TSC-HĐ ban hành kèm theo Nghị định số 151/2017/NĐ-CP ngày 26 tháng 12 năm 2017 của Chính phủ quy định chi tiết một số điều của Luật Quản lý, sử dụng tài sản công.”
Do vậy, nội dung hóa đơn bán tài sản công thực hiện theo hướng dẫn lập hóa đơn bán tài sản công theo Mẫu số 08/TSC-HĐ ban hành kèm theo Nghị định số 151/2017/NĐ-CP ngày 26 tháng 12 năm 2017 của Chính phủ quy định chi tiết một số điều của Luật Quản lý, sử dụng tài sản công"
trachnhiem_maytinhtien,"Trách nhiệm của người bán khi sử dụng hóa đơn điện tử có mã của cơ quan thuế được khởi tạo từ máy tính tiền có kết nối chuyển dữ liệu điện tử với cơ quan thuế được quy định như thế nào?","Trách nhiệm của người bán khi sử dụng hóa đơn điện tử có mã của cơ quan thuế được khởi tạo từ máy tính tiền có kết nối chuyển dữ liệu điện tử với cơ quan thuế được quy định như sau:
- Đăng ký sử dụng hóa đơn điện tử có mã của cơ quan thuế được khởi tạo từ máy tính tiền có kết nối chuyển dữ liệu điện tử với cơ quan thuế theo quy định tại Điều 15 Nghị định số 123/2020/NĐ-CP;
- Lập hóa đơn điện tử có mã của cơ quan thuế được khởi tạo từ máy tính tiền theo quy định tại Điều 11 Nghị định số 123/2020/NĐ-CP và Điều này;
- Có trách nhiệm sử dụng dải ký tự mã của cơ quan thuế cấp khi lập hóa đơn điện tử có mã của cơ quan thuế được khởi tạo từ máy tính tiền có kết nối chuyển dữ liệu điện tử với cơ quan thuế để đảm bảo liên tục và duy nhất;
- Chuyển dữ liệu hóa đơn điện tử có mã của cơ quan thuế đã khởi tạo từ máy tính tiền cho cơ quan thuế ngay trong ngày thông qua tổ chức cung cấp dịch vụ nhận, truyền, lưu trữ dữ liệu điện tử.
(Khoản 6 Điều 8 Thông tư số 78/2021/TT-BTC)"
hoadon_kophidichvu,"Những trường hợp nào khi sử dụng hóa đơn điện tử không phải trả tiền dịch vụ","Trường hợp sử dụng hóa đơn điện tử có mã của cơ quan thuế không phải trả tiền dịch vụ trong thời gian 12 tháng kể từ khi bắt đầu sử dụng hóa đơn điện tử gồm:
- Doanh nghiệp nhỏ và vừa, hợp tác xã, hộ, cá nhân kinh doanh tại địa bàn có điều kiện kinh tế - xã hội khó khăn, địa bàn có điều kiện kinh tế - xã hội đặc biệt khó khăn. Địa bàn có điều kiện kinh tế - xã hội khó khăn, địa bàn có điều kiện kinh tế - xã hội đặc biệt khó khăn thực hiện theo Danh mục địa bàn ưu đãi đầu tư ban hành kèm theo Nghị định số 118/2015/NĐ-CP ngày 12 tháng 11 năm 2015 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của Luật Đầu tư và các văn bản sửa đổi, bổ sung hoặc thay thế nếu có.
- Doanh nghiệp nhỏ và vừa khác theo đề nghị của Ủy ban nhân dân tỉnh, thành phố trực thuộc trung ương gửi Bộ Tài chính trừ doanh nghiệp hoạt động tại các khu kinh tế, khu công nghiệp, khu công nghệ cao.
Tổng cục Thuế thực hiện hoặc ủy thác cho tổ chức cung cấp dịch vụ về hóa đơn điện tử thực hiện cung cấp hóa đơn điện tử có mã của cơ quan thuế không phải trả tiền dịch vụ cho các đối tượng nêu trên.
(Khoản 1 Điều 14 Nghị định số 123/2020/NĐ-CP)"
hoadon_đinhdang,"Hóa đơn điện tử được quy định về định dạng như thế nào?","Định dạng hóa đơn điện tử là tiêu chuẩn kỹ thuật quy định kiểu dữ liệu, chiều dài dữ liệu của các trường thông tin phục vụ truyền nhận, lưu trữ và hiển thị hóa đơn điện tử. Định dạng hóa đơn điện tử sử dụng ngôn ngữ định dạng văn bản XML (XML là chữ viết tắt của cụm từ tiếng Anh "extensible Markup Language" được tạo ra với mục đích chia sẻ dữ liệu điện tử giữa các hệ thống công nghệ thông tin).
Định dạng hóa đơn điện tử gồm hai thành phần: thành phần chứa dữ liệu nghiệp vụ hóa đơn điện tử và thành phần chứa dữ liệu chữ ký số. Đối với hóa đơn điện tử có mã của cơ quan thuế thì có thêm thành phần chứa dữ liệu liên quan đến mã cơ quan thuế.
(Khoản 1 và Khoản 2 Điều 12 Nghị định số 123/2020/NĐ-CP)"
maphatsinh_banhang,"Trường hợp nào thì cơ quan thuế cấp hóa đơn điện tử có mã theo từng lần phát sinh là hóa đơn bán hàng?","Cơ quan thuế cấp hóa đơn điện tử có mã theo từng lần phát sinh là hóa đơn bán hàng trong các trường hợp:
- Hộ, cá nhân kinh doanh theo quy định tại khoản 4 Điều 91 Luật Quản lý thuế số 38/2019/QH14 không đáp ứng điều kiện phải sử dụng hóa đơn điện tử có mã của cơ quan thuế nhưng cần có hóa đơn để giao cho khách hàng;
- Tổ chức không kinh doanh nhưng có phát sinh giao dịch bán hàng hóa, cung cấp dịch vụ;
- Doanh nghiệp sau khi đã giải thể, phá sản, đã chấm dứt hiệu lực mã số thuế có phát sinh thanh lý tài sản cần có hóa đơn để giao cho người mua;
- Doanh nghiệp, tổ chức kinh tế, hộ, cá nhân kinh doanh thuộc diện nộp thuế giá trị gia tăng theo phương pháp trực tiếp thuộc các trường hợp sau:
+ Ngừng hoạt động kinh doanh nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực mã số thuế có phát sinh thanh lý tài sản cần có hóa đơn để giao cho người mua;
+ Tạm ngừng hoạt động kinh doanh cần có hóa đơn giao cho khách hàng để thực hiện các hợp đồng đã ký trước ngày cơ quan thuế thông báo tạm ngừng kinh doanh;
+ Bị cơ quan thuế cưỡng chế bằng biện pháp ngừng sử dụng hóa đơn.
(Điểm a.1 Khoản 2 Điều 13 Nghị định số 123/2020/NĐ-CP)"
maphatsinh_gtgt,"Trường hợp nào thì cơ quan thuế cấp hóa đơn điện tử có mã theo từng lần phát sinh là hóa đơn giá trị gia tăng?","Cơ quan thuế cấp hóa đơn điện tử có mã theo từng lần phát sinh là hóa đơn giá trị gia tăng trong các trường hợp:
- Doanh nghiệp, tổ chức kinh tế, tổ chức khác thuộc diện nộp thuế giá trị gia tăng theo phương pháp khấu trừ thuộc các trường hợp sau:
+ Ngừng hoạt động kinh doanh nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực mã số thuế có phát sinh thanh lý tài sản cần có hóa đơn để giao cho người mua;
+ Tạm ngừng hoạt động kinh doanh cần có hóa đơn giao cho khách hàng để thực hiện các hợp đồng đã ký trước ngày cơ quan thuế thông báo tạm ngừng kinh doanh;
+ Bị cơ quan thuế cưỡng chế bằng biện pháp ngừng sử dụng hóa đơn.
- Tổ chức, cơ quan nhà nước không thuộc đối tượng nộp thuế giá trị gia tăng theo phương pháp khấu trừ có bán đấu giá tài sản, trường hợp giá trúng đấu giá là giá bán đã có thuế giá trị gia tăng được công bố rõ trong hồ sơ bán đấu giá do cơ quan có thẩm quyền phê duyệt thì được cấp hóa đơn giá trị gia tăng để giao cho người mua.
(Điểm a.2 Khoản 2 Điều 13 Nghị định số 123/2020/NĐ-CP)"
